event_id,compound,n_laps,observed_slope,predicted_slope
2022_20_R,MEDIUM,13,0.08069780219780125,0.03461437672376633
2022_20_R,MEDIUM,11,0.04101284420624534,0.03461437672376633
2022_20_R,MEDIUM,30,0.058949657178343766,0.03461437672376633
2022_20_R,MEDIUM,24,0.037151211361738226,0.03461437672376633
2022_20_R,MEDIUM,33,0.05280918490545461,0.03461437672376633
2022_20_R,MEDIUM,9,0.0541792421193819,0.03461437672376633
2022_20_R,MEDIUM,17,0.034321778711484105,0.03461437672376633
2022_20_R,MEDIUM,13,0.061281332004975604,0.03461437672376633
2022_20_R,MEDIUM,18,0.044434304058701704,0.03461437672376633
2022_20_R,MEDIUM,17,0.03420942686332853,0.03461437672376633
2022_20_R,MEDIUM,27,0.05017617165443212,0.03461437672376633
2022_20_R,MEDIUM,9,0.04882470554711097,0.03461437672376633
2022_20_R,MEDIUM,36,0.05354237230400713,0.03461437672376633
2022_20_R,MEDIUM,14,0.04441881868131514,0.03461437672376633
2022_20_R,MEDIUM,25,0.04122978021978098,0.03461437672376633
2022_20_R,SOFT,17,0.06521004700930323,0.03743293508887291
2022_20_R,SOFT,8,0.07994194009408613,0.03743293508887291
2022_20_R,SOFT,4,0.061242857142855406,0.03743293508887291
2022_20_R,SOFT,8,0.10105511341026326,0.03743293508887291
2022_20_R,SOFT,15,0.1162050321861872,0.03743293508887291
2022_20_R,SOFT,23,0.06579358772475848,0.03743293508887291
2022_20_R,SOFT,12,0.0707703875072279,0.03743293508887291
2022_20_R,SOFT,12,0.057971528471525986,0.03743293508887291
2022_20_R,SOFT,11,0.08157721884498266,0.03743293508887291
2022_20_R,SOFT,23,0.08217250141163182,0.03743293508887291
2022_20_R,SOFT,14,0.046378958225891616,0.03743293508887291
2022_20_R,SOFT,20,0.08060505738672513,0.03743293508887291
2022_20_R,SOFT,10,0.07036103896104104,0.03743293508887291
2022_20_R,SOFT,23,0.06354404291360599,0.03743293508887291
2022_20_R,SOFT,9,0.06135952380952479,0.03743293508887291
2022_20_R,SOFT,10,0.07720952380952303,0.03743293508887291
2022_20_R,HARD,16,0.19033991596638858,0.013955566100776196
2022_20_R,HARD,13,0.06569381708597083,0.013955566100776196
2022_20_R,HARD,32,0.0517026856766339,0.013955566100776196
2022_20_R,HARD,19,0.05205556542437984,0.013955566100776196
2022_20_R,HARD,16,0.038242295880544445,0.013955566100776196
